employee_id,full_name,name,city,skillset,years_exp,expected_salary,linkedin_url
E0115,Aditi Naik,Employee_0115,Bangalore,"Docker, SQL, Node.js, Kubernetes, C++, JavaScript",0,3.0,https://www.linkedin.com/in/aditi-naik
E0116,Riya Shetty,Employee_0116,Hyderabad,"Deep Learning, Node.js",0,4.98,https://www.linkedin.com/in/riya-shetty
E0117,Harsh Mehta,Employee_0117,Mumbai,"Docker, Data Analysis",12,21.14,https://www.linkedin.com/in/harsh-mehta
E0118,Nisha Singh,Employee_0118,Chennai,"Machine Learning, Deep Learning, Tableau, Data Analysis, Power BI, C++",0,3.0,https://www.linkedin.com/in/nisha-singh
E0119,Ananya Sharma,Employee_0119,Chennai,"Node.js, SQL, Machine Learning, React",0,4.11,https://www.linkedin.com/in/ananya-sharma
E0120,Dev Kapoor,Employee_0120,Hyderabad,"React, Machine Learning, SQL, Deep Learning, JavaScript, Docker",0,5.88,https://www.linkedin.com/in/dev-kapoor
E0121,Anaya Iyer,Employee_0121,Pune,"Machine Learning, Node.js, React, Tableau",7,16.11,https://www.linkedin.com/in/anaya-iyer
E0122,Ananya Shetty,Employee_0122,Bangalore,"Docker, Java, C++, Node.js",6,13.71,https://www.linkedin.com/in/ananya-shetty
E0123,Anaya Iyer,Employee_0123,Pune,"Machine Learning, Deep Learning, Java, Kubernetes, Tableau",12,26.77,https://www.linkedin.com/in/anaya-iyer
E0124,Vihaan Naik,Employee_0124,Bangalore,"Node.js, Docker, Python, JavaScript",1,5.21,https://www.linkedin.com/in/vihaan-naik
E0125,Anaya Iyer,Employee_0125,Chennai,"C++, Node.js, Data Analysis, Kubernetes",6,13.47,https://www.linkedin.com/in/anaya-iyer
E0126,Arjun Verma,Employee_0126,Delhi,"Machine Learning, React, AWS, Data Analysis, Deep Learning, C++",8,16.27,https://www.linkedin.com/in/arjun-verma
E0127,Vihaan Shetty,Employee_0127,Delhi,"AWS, Data Analysis, Tableau, Deep Learning, Java, SQL",7,14.95,https://www.linkedin.com/in/vihaan-shetty
E0128,Kabir Reddy,Employee_0128,Hyderabad,"Docker, Machine Learning, Tableau, Kubernetes",12,25.82,https://www.linkedin.com/in/kabir-reddy
E0129,Aditi Mukherjee,Employee_0129,Bangalore,"SQL, Tableau, Data Analysis, C++",11,23.0,https://www.linkedin.com/in/aditi-mukherjee
E0130,Krisha Gupta,Employee_0130,Bangalore,"C++, Data Analysis, Power BI, Java",3,11.49,https://www.linkedin.com/in/krisha-gupta
E0131,Kabir Mehta,Employee_0131,Delhi,"Python, C++",6,14.91,https://www.linkedin.com/in/kabir-mehta
E0132,Om Iyer,Employee_0132,Bangalore,"Kubernetes, Tableau, Data Analysis, SQL, AWS",10,19.41,https://www.linkedin.com/in/om-iyer
E0133,Dev Singh,Employee_0133,Chennai,"Power BI, Machine Learning, Kubernetes, C++, Node.js",0,5.25,https://www.linkedin.com/in/dev-singh
E0134,Tara Joshi,Employee_0134,Mumbai,"Node.js, C++, Java, Machine Learning, Python",12,24.81,https://www.linkedin.com/in/tara-joshi
E0135,Ishaan Mukherjee,Employee_0135,Bangalore,"Data Analysis, Node.js",10,17.78,https://www.linkedin.com/in/ishaan-mukherjee
E0136,Meera Shetty,Employee_0136,Pune,"Java, Data Analysis, Deep Learning",12,23.13,https://www.linkedin.com/in/meera-shetty
E0137,Ishaan Chauhan,Employee_0137,Pune,"AWS, Python, Docker, C++, SQL, Power BI",6,11.37,https://www.linkedin.com/in/ishaan-chauhan
E0138,Ira Reddy,Employee_0138,Mumbai,"Data Analysis, AWS, Machine Learning",5,13.17,https://www.linkedin.com/in/ira-reddy
E0139,Zoya Verma,Employee_0139,Hyderabad,"Docker, Kubernetes, React, AWS, Tableau, Power BI",5,13.75,https://www.linkedin.com/in/zoya-verma
E0140,Aarohi Chauhan,Employee_0140,Pune,"Tableau, Docker, AWS, Java, Data Analysis",0,5.02,https://www.linkedin.com/in/aarohi-chauhan
E0141,Aarav Sharma,Employee_0141,Bangalore,"JavaScript, Data Analysis, C++, Machine Learning, Power BI",8,13.51,https://www.linkedin.com/in/aarav-sharma
E0142,Sarthak Patel,Employee_0142,Hyderabad,"AWS, Machine Learning, C++, JavaScript, Power BI, SQL",2,6.91,https://www.linkedin.com/in/sarthak-patel
E0143,Sarthak Patel,Employee_0143,Delhi,"C++, JavaScript, React, Data Analysis",11,20.32,https://www.linkedin.com/in/sarthak-patel
E0144,Sarthak Patel,Employee_0144,Mumbai,"SQL, Java, Tableau, C++, Node.js, Data Analysis",3,10.54,https://www.linkedin.com/in/sarthak-patel
E0145,Aarohi Patel,Employee_0145,Bangalore,"SQL, Node.js, Tableau",0,3.97,https://www.linkedin.com/in/aarohi-patel
E0146,Ishaan Chauhan,Employee_0146,Bangalore,"Docker, AWS, Node.js, Python",4,11.91,https://www.linkedin.com/in/ishaan-chauhan
E0147,Riya Bose,Employee_0147,Bangalore,"Tableau, Node.js, Power BI",7,12.05,https://www.linkedin.com/in/riya-bose
E0148,Ishaan Iyer,Employee_0148,Pune,"Deep Learning, Python, Data Analysis, Kubernetes, Node.js, AWS",0,3.0,https://www.linkedin.com/in/ishaan-iyer
E0149,Om Gupta,Employee_0149,Hyderabad,"React, JavaScript",0,5.59,https://www.linkedin.com/in/om-gupta
E0150,Krisha Khan,Employee_0150,Bangalore,"Tableau, Power BI, Node.js, Docker, Deep Learning",7,12.13,https://www.linkedin.com/in/krisha-khan
E0151,Ira Shetty,Employee_0151,Bangalore,"Power BI, C++, AWS, Tableau, JavaScript, Node.js",0,3.0,https://www.linkedin.com/in/ira-shetty
E0152,Yash Gowda,Employee_0152,Bangalore,"Python, Node.js, React, Machine Learning, Deep Learning",0,3.0,https://www.linkedin.com/in/yash-gowda
E0153,Aditi Kapoor,Employee_0153,Delhi,"Deep Learning, Java, AWS, Tableau, Kubernetes",5,10.92,https://www.linkedin.com/in/aditi-kapoor
E0154,Aarav Singh,Employee_0154,Mumbai,"Python, Node.js, Kubernetes, Data Analysis, Machine Learning, Power BI",7,14.35,https://www.linkedin.com/in/aarav-singh
E0155,Reyansh Chauhan,Employee_0155,Pune,"Machine Learning, Node.js",0,5.22,https://www.linkedin.com/in/reyansh-chauhan
E0156,Saanvi Khan,Employee_0156,Hyderabad,"Tableau, AWS, Java",0,3.48,https://www.linkedin.com/in/saanvi-khan
E0157,Nisha Naik,Employee_0157,Pune,"JavaScript, Node.js",6,12.82,https://www.linkedin.com/in/nisha-naik
E0158,Yash Yadav,Employee_0158,Mumbai,"C++, AWS, React, Data Analysis",0,4.85,https://www.linkedin.com/in/yash-yadav
E0159,Sarthak Yadav,Employee_0159,Hyderabad,"JavaScript, Data Analysis, Node.js, Power BI, SQL",5,10.56,https://www.linkedin.com/in/sarthak-yadav
E0160,Arjun Reddy,Employee_0160,Bangalore,"Python, Deep Learning, Docker, Power BI, React",5,10.05,https://www.linkedin.com/in/arjun-reddy
E0161,Ishaan Shetty,Employee_0161,Bangalore,"Machine Learning, SQL, Data Analysis",0,3.0,https://www.linkedin.com/in/ishaan-shetty
E0162,Kunal Singh,Employee_0162,Pune,"Data Analysis, Python",0,4.37,https://www.linkedin.com/in/kunal-singh
E0163,Tara Bose,Employee_0163,Hyderabad,"C++, Tableau, Python",9,16.74,https://www.linkedin.com/in/tara-bose
E0164,Anaya Desai,Employee_0164,Bangalore,"Java, C++, Power BI, AWS, Machine Learning, SQL",6,14.5,https://www.linkedin.com/in/anaya-desai
E0165,Priya Desai,Employee_0165,Hyderabad,"C++, AWS, Deep Learning, JavaScript, React, Java",1,6.07,https://www.linkedin.com/in/priya-desai
E0166,Dev Iyer,Employee_0166,Bangalore,"Kubernetes, Deep Learning, Tableau, SQL, Java, JavaScript",2,8.4,https://www.linkedin.com/in/dev-iyer
E0167,Kabir Reddy,Employee_0167,Bangalore,"Kubernetes, Python",0,3.0,https://www.linkedin.com/in/kabir-reddy
E0168,Kunal Yadav,Employee_0168,Mumbai,"Kubernetes, Machine Learning, Node.js, Data Analysis",0,3.0,https://www.linkedin.com/in/kunal-yadav
E0169,Dev Kapoor,Employee_0169,Chennai,"SQL, Kubernetes, Deep Learning",0,3.64,https://www.linkedin.com/in/dev-kapoor
E0170,Nisha Sharma,Employee_0170,Mumbai,"SQL, Deep Learning, Data Analysis",0,5.88,https://www.linkedin.com/in/nisha-sharma
E0171,Vihaan Banerjee,Employee_0171,Pune,"Tableau, Machine Learning, Kubernetes, SQL",10,16.75,https://www.linkedin.com/in/vihaan-banerjee
E0172,Krisha Sharma,Employee_0172,Bangalore,"Data Analysis, Python, React, Docker, Node.js, Power BI",11,22.39,https://www.linkedin.com/in/krisha-sharma
E0173,Dev Mukherjee,Employee_0173,Hyderabad,"Docker, Machine Learning",9,15.44,https://www.linkedin.com/in/dev-mukherjee
E0174,Ira Patel,Employee_0174,Pune,"Python, Tableau, Node.js, AWS",5,9.43,https://www.linkedin.com/in/ira-patel
E0175,Aditi Kapoor,Employee_0175,Hyderabad,"Node.js, React",1,4.28,https://www.linkedin.com/in/aditi-kapoor
E0176,Aditi Patel,Employee_0176,Bangalore,"Deep Learning, Java, Node.js, Tableau, Docker",5,9.55,https://www.linkedin.com/in/aditi-patel
E0177,Zoya Verma,Employee_0177,Delhi,"Kubernetes, Data Analysis, Docker, AWS",0,3.29,https://www.linkedin.com/in/zoya-verma
E0178,Harsh Mehta,Employee_0178,Hyderabad,"Node.js, Tableau, Deep Learning, Kubernetes, JavaScript",1,6.79,https://www.linkedin.com/in/harsh-mehta
E0179,Saanvi Gowda,Employee_0179,Mumbai,"Tableau, C++, SQL, JavaScript",4,9.51,https://www.linkedin.com/in/saanvi-gowda
E0180,Yash Chauhan,Employee_0180,Pune,"C++, Data Analysis, AWS, Kubernetes, Deep Learning",10,22.22,https://www.linkedin.com/in/yash-chauhan
E0181,Ishaan Gowda,Employee_0181,Pune,"React, Python, AWS, Power BI, Java",12,18.41,https://www.linkedin.com/in/ishaan-gowda
E0182,Meera Naik,Employee_0182,Delhi,"C++, React, Data Analysis, JavaScript, Tableau",6,13.8,https://www.linkedin.com/in/meera-naik
E0183,Arjun Naik,Employee_0183,Delhi,"Power BI, Kubernetes, Deep Learning, JavaScript",0,3.0,https://www.linkedin.com/in/arjun-naik
E0184,Kabir Banerjee,Employee_0184,Mumbai,"Python, Docker, C++, SQL, Data Analysis, Node.js",7,14.76,https://www.linkedin.com/in/kabir-banerjee
E0185,Saanvi Bose,Employee_0185,Bangalore,"Docker, Data Analysis, C++, Deep Learning, AWS",3,9.32,https://www.linkedin.com/in/saanvi-bose
E0186,Neha Mehta,Employee_0186,Hyderabad,"AWS, Data Analysis, Python, SQL, JavaScript",4,10.75,https://www.linkedin.com/in/neha-mehta
E0187,Ayaan Singh,Employee_0187,Hyderabad,"Node.js, Deep Learning, C++",0,3.54,https://www.linkedin.com/in/ayaan-singh
E0188,Nisha Verma,Employee_0188,Mumbai,"Machine Learning, Kubernetes, React, AWS",11,21.16,https://www.linkedin.com/in/nisha-verma
E0189,Dev Mehta,Employee_0189,Delhi,"Docker, React, Node.js, Deep Learning, Power BI, Tableau",7,12.83,https://www.linkedin.com/in/dev-mehta
E0190,Vihaan Gowda,Employee_0190,Delhi,"Deep Learning, AWS, JavaScript, Data Analysis",6,15.34,https://www.linkedin.com/in/vihaan-gowda
E0191,Zoya Sharma,Employee_0191,Pune,"C++, SQL, Deep Learning, Power BI",0,3.0,https://www.linkedin.com/in/zoya-sharma
